# Force coefficients
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf     : 7.355102e+00
# lRef        : 1.000000e+00
# Aref        : 1.000000e+00
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
0             	-7.269272e+00	8.165678e-01	1.020057e-03	-7.268762e+00	7.269782e+00
1             	5.155899e+07	1.810791e+05	-1.404620e+04	5.155196e+07	-5.156601e+07
2             	5.099904e+07	1.445170e+05	3.783782e+04	5.101796e+07	-5.098012e+07
3             	3.341224e+07	6.857571e+03	1.012156e+05	3.346285e+07	-3.336163e+07
4             	5.258329e+06	-9.043987e+04	7.834474e+04	5.297502e+06	-5.219157e+06
5             	-1.420783e+07	-8.460134e+04	-5.442435e+03	-1.421055e+07	1.420511e+07
6             	-9.199417e+06	-1.225935e+04	-5.412933e+04	-9.226481e+06	9.172352e+06
7             	2.358979e+07	4.725700e+04	-4.614929e+03	2.358748e+07	-2.359210e+07
8             	4.617507e+07	5.417746e+04	6.939112e+04	4.620977e+07	-4.614038e+07
9             	4.111139e+07	1.863833e+04	9.799385e+04	4.116039e+07	-4.106239e+07
10            	1.298013e+07	-1.888502e+04	5.315616e+04	1.300671e+07	-1.295355e+07
11            	-7.176178e+06	-2.910167e+04	-7.257916e+03	-7.179807e+06	7.172549e+06
12            	-1.518191e+06	-1.231200e+04	-2.317160e+04	-1.529776e+06	1.506605e+06
13            	2.117504e+07	9.319483e+03	1.200691e+04	2.118104e+07	-2.116904e+07
14            	3.526148e+07	1.758402e+04	5.281224e+04	3.528788e+07	-3.523507e+07
15            	3.441889e+07	1.085606e+04	7.319051e+04	3.445548e+07	-3.438229e+07
16            	1.913707e+07	-1.285986e+03	5.114395e+04	1.916264e+07	-1.911150e+07
17            	1.005242e+07	-7.245780e+03	2.356176e+04	1.006420e+07	-1.004063e+07
18            	1.206821e+07	-4.686302e+03	1.008665e+04	1.207325e+07	-1.206317e+07
19            	2.068022e+07	1.948803e+03	1.720121e+04	2.068883e+07	-2.067162e+07
20            	2.668444e+07	6.229395e+03	3.346693e+04	2.670117e+07	-2.666771e+07
21            	2.671505e+07	5.531319e+03	4.595785e+04	2.673803e+07	-2.669208e+07
22            	2.286673e+07	2.119984e+03	4.661152e+04	2.289004e+07	-2.284343e+07
23            	2.103007e+07	-4.889419e+02	4.148303e+04	2.105081e+07	-2.100933e+07
24            	2.233517e+07	-5.362822e+02	3.564967e+04	2.235300e+07	-2.231735e+07
25            	2.407649e+07	1.292503e+03	3.128480e+04	2.409213e+07	-2.406085e+07
26            	2.490705e+07	2.902536e+03	3.218376e+04	2.492314e+07	-2.489096e+07
27            	2.422539e+07	3.084041e+03	3.597507e+04	2.424338e+07	-2.420740e+07
28            	2.339231e+07	2.239443e+03	4.040326e+04	2.341251e+07	-2.337210e+07
29            	2.373697e+07	1.372484e+03	4.360958e+04	2.375877e+07	-2.371516e+07
30            	2.543771e+07	1.075192e+03	4.533686e+04	2.546038e+07	-2.541504e+07
